has_dockerfile,parent_has_dockerfile,commit_hash,parent_commit,dockerfile_path,pushed,commit_pushed,parent_pushed,failure_reason
yes,yes,021f76e4f49861b2e9ea9ccff06a46d577e3c548,777688b8929c877e4e28c2eac208d776abe4c3af,docker/Dockerfile,no,no,no,Dependency conflict: sglang 0.4.7 conflicting dependencies
no,no,09deb20deef8181a23f66c933ea74b86fee47366,33b242df303e03886835d08a583fefe979a3ee88,,no,no,no,
yes,yes,132dad874d2e44592d03a112e4b7d63b153e8346,60fdad7cf343333e956a3889c12956396a1516bf,docker/Dockerfile,no,yes,no,
yes,yes,187b85b7f38496653948a2aba546d53c09ada0f3,ceba0ce4f661722198f6568a54ba20cf06b7e033,docker/Dockerfile,no,no,no,Torch version unavailable: flashinfer requires torch 2.9.x not available for CUDA 12.6
yes,yes,1acca3a2c685221cdb181c2abda4f635e1ead435,6ea1e6ac6e2fa949cebd1b4338f9bfb7036d14fe,docker/Dockerfile,no,yes,no,
no,no,1bf1cf195302fdff14a4321eb8a17831f5c2fc11,e822e5900b98d89d19e0a293d9ad384f4df2945a,,no,no,no,
yes,yes,2854a5ea9fbb31165936f633ab99915dec760f8d,42a2d82ba71dc86ca3b6342c978db450658b750c,docker/Dockerfile,no,yes,no,
no,no,2a754e57b052e249ed4f8572cb6f0069ba6a495e,96c503eb6029d37f896e91466e23469378dfc3dc,,no,no,no,
yes,yes,2bd18e2d767e3a0f8afb5aff427bc8e6e4d297c0,83452dbb4a19c6a2461e972eb2b64a2df9a466b8,docker/Dockerfile,no,yes,no,
yes,yes,3212c2ad3f7e4fb473dc807b4b176020a778ed5b,534756749ae4e664f762de2645a4f63ca2901bab,docker/Dockerfile,no,yes,no,
yes,yes,564a898ad975192b593be81387d11faf15cb1d3e,5d264a90ac5154d8e368ee558337dd3dd92e720b,docker/Dockerfile,no,no,no,Missing COPY step: Dockerfile installs before copying source
yes,yes,62757db6f0f09a6dff15b1ee1ac3029602951509,73fa2d49d539fd67548b0458a365528d3e3b6edc,docker/Dockerfile,no,no,no,
yes,yes,6a2941f4d037cb5fa7c927342dc7f09387c29ab0,5ac8b80677614a9c024740e94f9a087a39eb3499,docker/Dockerfile,no,no,no,Missing COPY step: Dockerfile installs before copying source
no,no,6f560c761b2fc2f577682d0cfda62630f37a3bb0,cd6872334e9ead684049b8fccd5f2dac9433b1b4,,no,no,no,
yes,yes,6fc175968c3a9fc0521948aa3636887cd6d84107,ad506a4e6bf3d9ac12100d4648c48df76f584c4e,docker/Dockerfile,no,yes,no,
yes,yes,79961afa8281f98f380d11db45c8d4b6e66a574f,cfca4e0ed2cf4a97c2ee3b668f7115b59db0028a,docker/Dockerfile,no,yes,no,
yes,yes,7ce36068914503c3a53ad7be23ab29831fb8aa63,efb099cdee90b9ad332fcda96d89dd91ddebe072,docker/Dockerfile,no,yes,no,
yes,yes,8f8f96a6217ea737c94e7429e480196319594459,05b3bf5e8e4751cf51510198ae2e864c4b11ac2f,docker/Dockerfile,no,yes,no,
no,no,9216b10678a036a1797e19693b0445c889016687,da19434c2f3cbe4f367f84993da0bcbd84efb6ba,,no,no,no,
