human_done,parent_done,commit_hash,parent_commit,dockerfile_path,is_fallback
yes,yes,6b231325b9782555eb8e1cfcf27820003a98382b,b1c8d4e9f31953560f2db45a3b6e68099ef00c13,docker/Dockerfile,no
yes,yes,6cb00c6398126513e37c43dd975d461765fb44c7,62cac2c43abb7c2d00be3b93581ab50ab1562a10,docker/Dockerfile,no
yes,yes,6e2da5156176ed2d7fe2445b7c7316bc1650b20a,e9a47f4cb58a5a2fedd7843211684b8e4db3c0c5,docker/Dockerfile,no
yes,yes,73b13e69b4207f240650c6b51eba7a7204f64939,8609e637a961dd0bd17bbf7f8f81b34cb2f7863a,docker/Dockerfile,no
yes,yes,880221bd3b3e56a4bc2268fe9a9f77f426accf6c,8f3173d0b0721acc94a39fb654eb46a4f298958d,docker/Dockerfile,no
yes,no,9183c23eca51bf76159e81dfd6edf5770796c2d8,148254d4db8bf3bffee23710cd1acbd5711ebd1b,docker/Dockerfile,no
no,no,9c088829ee2a28263f36d0814fde448c6090b5bc,005aad32ad45ce27d73fd39aa1f7e9ba5d8ebb8f,docker/Dockerfile,no
no,no,a191a0e47c2f0b0c8aed28080b9cb78624365e92,8c7279c24e535681478188967b3007916b87b3d0,docker/Dockerfile,no
no,no,a99801e0750f41553fedd02e36f58d835c4d4bd6,4c605235aa832f259e148dfbdce08d9e471b5099,docker/Dockerfile,no
no,no,b1e5a33ae337d20e35e966b8d82a02a913d32689,9d5fa68b903d295d2b39201d54905c6801f60f7f,docker/Dockerfile,no
no,no,d1112d8548eb13c842900b3a8d622345f9737759,48efec7b052354865aa2f0605a5bf778721f3cbb,docker/Dockerfile,no
no,no,dd1012fcbe2a1fb36c44e10c16f8d0bcd8e9da25,44aab7f91c350b1c6ecb77a7a34efb98af106cb5,docker/Dockerfile,no
no,no,df7f61ee7d235936e6663f07813d7c03c4ec1603,ef21729c1d8fdd9575cb2c8aaea96c94481c10fa,docker/Dockerfile,no
no,no,93470a14116a60fe5dd43f0599206e8ccabdc211,db452760e5b2378efd06b1ceb9385d2eeb6d217c,docker/Dockerfile,no
